fight_id,feature,shap_value,base_value
1330b5c21269fe92,experience_advantage,0.5111118,-0.0008235523
1330b5c21269fe92,fighter_1_fighting_age,-0.12039903,-0.0008235523
1330b5c21269fe92,fighter_2_elo,0.11879823,-0.0008235523
1330b5c21269fe92,fighter_2_age,-0.10589142,-0.0008235523
1330b5c21269fe92,fighter_1_head_strikes_absorbed_per_min,-0.10172996,-0.0008235523
1330b5c21269fe92,fighter_1_elo_uncertainty,-0.0825398,-0.0008235523
1330b5c21269fe92,fighter_1_vs_winning_record,0.07807944,-0.0008235523
1330b5c21269fe92,fighter_1_cumulative_head_strikes_absorbed,-0.07399188,-0.0008235523
1330b5c21269fe92,fighter_2_age_vs_prime,-0.0634267,-0.0008235523
1330b5c21269fe92,fighter_1_avg_takedowns_attempted,0.059740596,-0.0008235523
1330b5c21269fe92,fighter_2_strikes_absorbed_per_min,0.05756334,-0.0008235523
1330b5c21269fe92,fighter_2_head_absorption_rate,-0.05737557,-0.0008235523
1330b5c21269fe92,fighter_1_elo,0.052519884,-0.0008235523
1330b5c21269fe92,fighter_2_finish_rate_late_rounds,-0.04472457,-0.0008235523
1330b5c21269fe92,fighter_1_age_vs_prime,-0.04354533,-0.0008235523
1330b5c21269fe92,fighter_2_avg_takedowns_attempted,-0.03692011,-0.0008235523
1330b5c21269fe92,fighter_1_avg_striking_accuracy,-0.03665183,-0.0008235523
1330b5c21269fe92,fighter_1_distance_strike_defense,0.032624613,-0.0008235523
1330b5c21269fe92,fighter_1_clinch_strike_defense,0.03066289,-0.0008235523
1330b5c21269fe92,fighter_2_avg_opponent_win_rate,0.03005668,-0.0008235523
1330b5c21269fe92,fighter_1_age,0.029718213,-0.0008235523
1330b5c21269fe92,fighter_1_striking_defense,0.028968131,-0.0008235523
1330b5c21269fe92,fighter_1_fights_per_year,-0.02874151,-0.0008235523
1330b5c21269fe92,fighter_2_round_1_strike_output,-0.028315263,-0.0008235523
1330b5c21269fe92,fighter_2_decision_rate,0.028156647,-0.0008235523
1330b5c21269fe92,fighter_1_head_absorption_rate,-0.027586438,-0.0008235523
1330b5c21269fe92,fighter_2_fighting_age,-0.02703631,-0.0008235523
1330b5c21269fe92,fighter_1_avg_opponent_win_rate,0.026816754,-0.0008235523
1330b5c21269fe92,fighter_2_avg_strikes_per_round,-0.02575135,-0.0008235523
1330b5c21269fe92,fighter_2_clinch_strike_defense,0.02573341,-0.0008235523
c40b934d2666e351,fighter_2_avg_takedowns_attempted,-0.21188153,-0.0008235523
c40b934d2666e351,fighter_1_age,-0.20981401,-0.0008235523
c40b934d2666e351,fighter_2_head_strikes_absorbed_per_min,-0.1184084,-0.0008235523
c40b934d2666e351,fighter_1_age_vs_prime,-0.1140581,-0.0008235523
c40b934d2666e351,fighter_2_days_since_last_fight,0.07395584,-0.0008235523
c40b934d2666e351,reach_advantage,0.070216395,-0.0008235523
c40b934d2666e351,experience_advantage,0.06526484,-0.0008235523
c40b934d2666e351,fighter_1_fighting_age,-0.063794,-0.0008235523
c40b934d2666e351,fighter_2_elo,-0.060216196,-0.0008235523
c40b934d2666e351,fighter_2_avg_striking_accuracy,-0.056864858,-0.0008235523
c40b934d2666e351,fighter_1_avg_takedowns_attempted,0.054343697,-0.0008235523
c40b934d2666e351,fighter_1_elo,0.05172085,-0.0008235523
c40b934d2666e351,fighter_2_decision_rate,0.051408503,-0.0008235523
c40b934d2666e351,fighter_1_striking_defense,-0.048680566,-0.0008235523
c40b934d2666e351,fighter_1_distance_strike_defense,-0.04822386,-0.0008235523
c40b934d2666e351,fighter_2_head_absorption_rate,-0.04454212,-0.0008235523
c40b934d2666e351,fighter_2_win_rate_rounds_3_plus,-0.03888566,-0.0008235523
c40b934d2666e351,fighter_1_fights_per_year,-0.036864437,-0.0008235523
c40b934d2666e351,elo_delta,0.035941307,-0.0008235523
c40b934d2666e351,fighter_1_round_1_strike_output,0.035838265,-0.0008235523
c40b934d2666e351,fighter_1_head_strikes_absorbed_per_min,0.034298792,-0.0008235523
c40b934d2666e351,fighter_2_strikes_absorbed_per_min,-0.034011543,-0.0008235523
c40b934d2666e351,fighter_2_round_1_strike_output,-0.030043656,-0.0008235523
c40b934d2666e351,fighter_1_reach_cm,-0.026743997,-0.0008235523
c40b934d2666e351,fighter_1_head_absorption_rate,-0.026665168,-0.0008235523
c40b934d2666e351,fighter_1_body_strikes_absorbed_per_min,-0.02647688,-0.0008235523
c40b934d2666e351,fighter_1_win_rate_rounds_3_plus,-0.025806434,-0.0008235523
c40b934d2666e351,fighter_1_days_since_last_fight,0.025737671,-0.0008235523
c40b934d2666e351,fighter_1_vs_winning_record,-0.024855293,-0.0008235523
c40b934d2666e351,fighter_2_fights_per_year,-0.024711045,-0.0008235523
81f3d28d30d17378,experience_advantage,-0.41824147,-0.0008235523
81f3d28d30d17378,fighter_2_age_vs_prime,0.31839606,-0.0008235523
81f3d28d30d17378,fighter_2_age,0.30416963,-0.0008235523
81f3d28d30d17378,fighter_1_avg_takedowns_attempted,-0.130634,-0.0008235523
81f3d28d30d17378,reach_advantage,0.12861001,-0.0008235523
81f3d28d30d17378,fighter_1_age,0.123933956,-0.0008235523
81f3d28d30d17378,fighter_1_head_strikes_absorbed_per_min,-0.11284774,-0.0008235523
81f3d28d30d17378,fighter_2_fighting_age,0.1035212,-0.0008235523
81f3d28d30d17378,fighter_2_elo_uncertainty,0.09190835,-0.0008235523
81f3d28d30d17378,fighter_1_reach_cm,0.080515906,-0.0008235523
81f3d28d30d17378,fighter_1_age_vs_prime,0.07758791,-0.0008235523
81f3d28d30d17378,fighter_2_head_strikes_absorbed_per_min,0.07460365,-0.0008235523
81f3d28d30d17378,fighter_2_avg_striking_accuracy,-0.066313006,-0.0008235523
81f3d28d30d17378,fighter_1_avg_striking_accuracy,-0.060078748,-0.0008235523
81f3d28d30d17378,fighter_1_head_absorption_rate,0.0565692,-0.0008235523
81f3d28d30d17378,fighter_1_avg_strikes_per_round,0.055803157,-0.0008235523
81f3d28d30d17378,fighter_2_cumulative_head_strikes_absorbed,0.05350991,-0.0008235523
81f3d28d30d17378,fighter_1_avg_opponent_win_rate,-0.050778944,-0.0008235523
81f3d28d30d17378,fighter_1_elo,-0.050469436,-0.0008235523
81f3d28d30d17378,fighter_1_body_strikes_absorbed_per_min,-0.045028396,-0.0008235523
81f3d28d30d17378,fighter_2_avg_strikes_per_round,-0.041826025,-0.0008235523
81f3d28d30d17378,fighter_1_distance_strike_defense,-0.041457567,-0.0008235523
81f3d28d30d17378,fighter_2_round_1_strike_output,-0.041019704,-0.0008235523
81f3d28d30d17378,fighter_2_round_2_strike_output,-0.03959877,-0.0008235523
81f3d28d30d17378,fighter_1_strikes_absorbed_per_min,-0.03948305,-0.0008235523
81f3d28d30d17378,fighter_2_body_strikes_absorbed_per_min,0.030228999,-0.0008235523
81f3d28d30d17378,fighter_2_reach_cm,0.028192008,-0.0008235523
81f3d28d30d17378,fighter_1_round_3_plus_strike_output,0.02749431,-0.0008235523
81f3d28d30d17378,fighter_1_body_strike_pct,-0.027380653,-0.0008235523
81f3d28d30d17378,fighter_2_avg_takedowns_attempted,0.025929496,-0.0008235523
7df505d8260ba680,fighter_2_age,0.2659297,-0.0008235523
7df505d8260ba680,fighter_2_age_vs_prime,0.22525226,-0.0008235523
7df505d8260ba680,experience_advantage,-0.19088125,-0.0008235523
7df505d8260ba680,fighter_1_avg_takedowns_attempted,-0.12844388,-0.0008235523
7df505d8260ba680,fighter_2_head_strikes_absorbed_per_min,0.111464,-0.0008235523
7df505d8260ba680,fighter_1_head_strikes_absorbed_per_min,-0.09157576,-0.0008235523
7df505d8260ba680,fighter_2_elo,0.068309404,-0.0008235523
7df505d8260ba680,fighter_1_elo,-0.065978855,-0.0008235523
7df505d8260ba680,fighter_2_strikes_absorbed_per_min,0.06470033,-0.0008235523
7df505d8260ba680,fighter_2_avg_striking_accuracy,-0.060402535,-0.0008235523
7df505d8260ba680,fighter_1_age,0.06015286,-0.0008235523
7df505d8260ba680,fighter_1_striking_defense,-0.059140746,-0.0008235523
7df505d8260ba680,fighter_1_distance_strike_defense,-0.05299386,-0.0008235523
7df505d8260ba680,fighter_2_striking_defense,0.050180707,-0.0008235523
7df505d8260ba680,fighter_2_distance_strike_defense,0.04999028,-0.0008235523
7df505d8260ba680,fighter_1_reach_cm,-0.048382662,-0.0008235523
7df505d8260ba680,fighter_1_submission_rate,0.040615443,-0.0008235523
7df505d8260ba680,fighter_2_avg_takedowns_attempted,-0.038500343,-0.0008235523
